"","named_location","location","State","latitude","longitude","Year","planting_doy","harvest_doy","min_flow_50_doy","max_flow_50_doy","mu","sd","fp","fst","N","h","badfit","ofs","outside_data","mu_025","mu_975","mu_16","mu_84","AIC_gau","AIC_lm","mod_for_cens","beta1_lm","y2","y3","opt_relation_to_data","cens","y_na","county_state"
"29","Carrington_REC","Carrington","ND",47.5156,-99.1215,"1994",145,285,207,220,217.801050052406,14.5943088964616,37.4067188286037,199.097690638104,76621.3071168553,2094.4793758578,FALSE,114.149965559676,"in_range",215.488528421939,238.016826992427,216.352507220557,221.146545614863,1340.0048,1342.0711,"gauss",0.0137,216.352507220557,221.146545614863,"opt_within","interval",217.801050052406,"Foster_ND"
"30","Carrington_REC","Carrington","ND",47.5156,-99.1215,"1997",149,273,208,219,212.543283413554,12.3126478353202,31.558586218708,196.7639903042,72861.6498523463,2360.79136954783,FALSE,97.0546114279467,"in_range",206.853761639612,214.626427726092,211.374382476117,213.336638443039,1350.3712,1352.7628,"gauss",-0.004,211.374382476117,213.336638443039,"opt_within","interval",212.543283413554,"Foster_ND"
"31","Carrington_REC","Carrington","ND",47.5156,-99.1215,"1998",146,270,214,224,217.026813524293,15.193771919924,38.9432043810124,197.555211333786,89083.7946423292,2339.06974309784,FALSE,119.69382028403,"in_range",203.201560355581,219.618636125104,215.021085562313,218.258450180585,1460.9956,1461.6836,"gauss",-0.0058,215.021085562313,218.258450180585,"opt_within","interval",217.026813524293,"Foster_ND"
"32","Carrington_REC","Carrington","ND",47.5156,-99.1215,"1999",152,286,210,227,220.802416844418,19.1214547443407,49.0102605262002,196.297286581318,121335.970872018,2531.50450954743,FALSE,151.401056726713,"in_range",217.318807524216,229.469499220925,219.449495626476,222.64096374923,1498.6627,1501.5748,"gauss",0.0028,219.449495626476,222.64096374923,"opt_within","interval",220.802416844418,"Foster_ND"
"33","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2000",154,291,218,229,224.001304547362,11.0504676467113,28.3234882252856,209.839560434719,61485.9546575945,2219.75646171506,FALSE,86.7593476279019,"in_range",221.207884365928,226.27493467996,223.1628394021,224.797703460791,1221.4071,1226.6714,"gauss",-0.0015,223.1628394021,224.797703460791,"opt_within","interval",224.001304547362,"Foster_ND"
"34","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2001",151,288,215,228,244.164055496376,24.1296109395483,61.8466813511205,213.240714820816,193954.662476616,3206.71209895438,FALSE,193.915635353412,"greater_than",226.531506139682,497.234299794054,228.963230761022,263.515245776877,1474.9886,1473.2448,"gauss",0.0379,228.963230761022,253,"opt_after","interval",244.164055496376,"Foster_ND"
"35","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2002",149,303.473684210526,215,225,221.928041784749,NA,NA,NA,NA,2058.44055774839,TRUE,0,"in_range",NA,NA,NA,NA,1457.9623,1456.829,"exclude",-0.0115,NA,NA,"unclear","interval",NA,"Foster_ND"
"36","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2003",148,293,216,224,220.538762633522,NA,NA,NA,NA,2068.71003772343,TRUE,0,"in_range",NA,NA,NA,NA,985.2853,983.8698,"exclude",-9e-04,NA,NA,"unclear","interval",NA,"Foster_ND"
"37","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2004",147,301,221,234,218.72992547065,21.444175817752,54.9636341821075,191.248108379596,94062.9872430385,1749.92515221984,FALSE,165.74367929227,"less_than",161.779057923509,225.789724766749,212.135128595213,224.383203514979,1090.5925,1089.2335,"gauss",-0.0172,187,224.383203514979,"opt_before","interval",218.72992547065,"Foster_ND"
"38","Carrington_REC","Carrington","ND",47.5156,-99.1215,"2005",143,298,212,221,219.213438458124,49.6809701007858,127.337450020873,155.544713447688,265561.55822492,2132.48117760751,FALSE,389.038260745588,"in_range",206.595859044004,231.833051084493,214.232235441355,218.344568045102,1486.8258,1484.8316,"gauss",0.0014,214.232235441355,218.344568045102,"opt_within","interval",219.213438458124,"Foster_ND"
